1;Vos DT;VOSTRO DESKTOPS;BLACK BULLET ST;VOSTRO DESKTOPS;VOSTRO 201
2;Inspiron NTB;INSPIRON NOTEBOOKS;NOTEBOOK;INSPIRON NOTEBOOKS;INSPIRON 7375
3;Inspiron NTB;INSPIRON NOTEBOOKS;NONE;INSPIRON NOTEBOOKS;INSPIRON 3482
4;Inspiron NTB;INSPIRON NOTEBOOKS;MT;INSPIRON NOTEBOOKS;INSPIRON 14-3467
5;Inspiron DT;INSPIRON DESKTOPS;MT;INSPIRON DESKTOPS;INSPIRON ONE 19
6;Inspiron NTB;INSPIRON NOTEBOOKS;NOTEBOOK;INSPIRON NOTEBOOKS;INSPIRON N7010
7;Inspiron NTB;INSPIRON NOTEBOOKS;NOTEBOOK;INSPIRON NOTEBOOKS;INSPIRON MINI 10
8;Inspiron NTB;INSPIRON NOTEBOOKS;NOTEBOOK;INSPIRON NOTEBOOKS;INSPIRON 15-5551
9;Inspiron DT;INSPIRON DESKTOPS;MT;INSPIRON DESKTOPS;INSPIRON 22-3280
10;Vos NB;VOSTRO NOTEBOOKS;NOTEBOOK;VOSTRO NOTEBOOKS;VOSTRO 1310
11;Inspiron DT;INSPIRON DESKTOPS;MAN L;INSPIRON DESKTOPS;DIMENSION
12;Inspiron NTB;INSPIRON NOTEBOOKS;NOTEBOOK;INSPIRON NOTEBOOKS;STUDIO 1435
13;Inspiron NTB;INSPIRON NOTEBOOKS;MT;INSPIRON NOTEBOOKS;INSPIRON 7590 2N1
14;XPS DT;XPS DESKTOPS;MDT ORYX;XPS DESKTOPS;DIMENSION XPS
15;Inspiron NTB;INSPIRON NOTEBOOKS;NOTEBOOK;INSPIRON NOTEBOOKS;INSPIRON 7573
16;Inspiron NTB;INSPIRON NOTEBOOKS;NOTEBOOK;INSPIRON NOTEBOOKS;DELL G7 7590
17;Inspiron NTB;INSPIRON NOTEBOOKS;NONE;INSPIRON NOTEBOOKS;INSPIRON 3581
